"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00003887","2000-11-21","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"  -33",",,B"," -106",",,B","   43",",,B"," 0049",",,B",,,,,,,"  300",",,B","  310",",,B","   94",",,B","  116",",,B",,,,,,,,,,,,
"USW00003887","2000-11-22","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   44",",,B"," -111",",,B","   18",",,B"," 1402",",,B",,,,,,,"  270",",,B","  300",",,B","   54",",,B","   63",",,B",,,,,,,,,,,,
"USW00003887","2000-11-23","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   56",",,B","  -78",",,B","   23",",,B"," 1831",",,B",,,,,,,"  130",",,B","  140",",,B","   40",",,B","   54",",,B",,,,,,,,,,,,
"USW00003887","2000-11-24","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   94",",,B","  -72",",,B","   34",",,B"," 2000",",,B",,,,,,,"   60",",,B","   60",",,B","   67",",,B","   76",",,B",,,,,,,,,,,,
"USW00003887","2000-11-25","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","  130",",,B",,,,,"   39",",,B","   22",",,B","   48",",,B"," 0332",",,B",,,,,,,"   50",",,B","   60",",,B","   76",",,B","   89",",,B",,,,,,,,,,,,
"USW00003887","2000-11-26","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    3",",,B",,,,,"   67",",,B","  -11",",,B","   46",",,B"," 1143",",,B",,,,,,,"  280",",,B","  290",",,B","   76",",,B","  107",",,B",,,,,,,,,,,,
"USW00003887","2000-11-27","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"    0",",,B","  -28",",,B","   42",",,B"," 1605",",,B",,,,,,,"  260",",,B","  250",",,B","   67",",,B","   80",",,B",,,,,,,,,,,,
"USW00003887","2000-11-28","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0","T,,B",,,,,"   72",",,B","  -39",",,B","   31",",,B"," 2332",",,B",,,,,,,"  160",",,B","  150",",,B","   63",",,B","   72",",,B",,,,,,,,,,,,
"USW00003887","2000-11-29","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    5",",,B",,,,,"   56",",,B","    6",",,B","   55",",,B"," 1501",",,B",,,,,,,"  300",",,B","  290",",,B","  103",",,B","  139",",,B",,,,,,,,,,,,
"USW00003887","2000-11-30","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,B",,,,,"   22",",,B","    6",",,B","   26",",,B"," 0008",",,B",,,,,,,"  290",",,B","  290",",,B","   67",",,B","   94",",,B",,,,,,,,,,,,
"USW00003887","2000-12-01","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    5",",,W",,,,,"   22",",,W","    0",",,W","   51",",,W"," 1942",",,W"," 2319",",,W","   11",",,W",,,"   50",",,W","   50",",,W","   98",",,W","  107",",,W",,,,,,,,,,,,
"USW00003887","2000-12-02","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"    0",",,W","  -67",",,W","   64",",,W"," 0746",",,W"," 0746",",,W","  -33",",,W",,,"   40",",,W","   40",",,W","  103",",,W","  116",",,W",,,,,,,,,,,,
"USW00003887","2000-12-03","39.83079","-88.87192","205.1","DECATUR AIRPORT, IL US","    0",",,W",,,,,"   17",",,W","  -89",",,W","   32",",,W"," 1005",",,W"," 1005",",,W","  -33",",,W",,,"   80",",,W","   90",",,W","   63",",,W","   72",",,W",,,,,,,,,,,,
