,COUNTYFP,Season,temp_aqi_corr
0,001,Fall,0.34579959634555796
1,001,Spring,0.22386324177453953
2,001,Summer,-0.10799624677021812
3,019,Fall,0.262725351965966
4,019,Spring,0.40017181898131254
5,019,Summer,0.08875782310055376
6,019,Winter,0.036495764473620566
7,023,Fall,0.48724599953458897
8,023,Spring,0.2817668600854533
9,023,Summer,-0.18762935391658178
10,023,Winter,-0.15435915970877817
11,031,Fall,0.320156654041264
12,031,Spring,0.45880211306999696
13,031,Summer,0.31070240338652183
14,031,Winter,0.16683424205869102
15,043,Fall,0.10161631724309957
16,043,Spring,0.13204878700823056
17,043,Summer,-0.02719934100097885
18,043,Winter,0.06618291019470414
19,085,Fall,0.4870084717499841
20,085,Spring,0.348969441827377
21,085,Summer,0.12667080731777214
22,085,Winter,-0.30033946952681617
23,089,Fall,0.20928470556991977
24,089,Spring,0.30528318758070205
25,089,Summer,0.020891197223895798
26,089,Winter,-0.0065942559412525
27,111,Fall,0.13657868569076084
28,111,Spring,0.2655412780232148
29,111,Summer,-0.031757752588656527
30,111,Winter,0.08019574650740229
31,113,Fall,0.12712162534481042
32,113,Spring,0.2564684250161819
33,113,Summer,-0.03618168073753847
34,113,Winter,-0.02819199188673469
35,115,Fall,0.24867803386822604
36,115,Spring,0.35066098772832166
37,115,Summer,0.08949972867726932
38,115,Winter,0.12485285648585834
39,143,Fall,0.22933511657059955
40,143,Spring,0.39799545800690816
41,143,Summer,0.17141226646791238
42,143,Winter,0.13154738675082586
43,157,Fall,0.19866621882036659
44,157,Spring,0.07748062712338676
45,157,Summer,-0.0911905437001832
46,157,Winter,-0.09056823322480667
47,161,Fall,0.30647834606780683
48,161,Spring,0.39101622890924076
49,161,Summer,0.1699807117286928
50,161,Winter,0.10592982394210229
51,167,Fall,0.32267064659905004
52,167,Spring,0.3862822462271768
53,167,Summer,0.1443574940617899
54,167,Winter,0.1834086887895806
55,201,Fall,0.27302263388831705
56,201,Spring,0.34676240500997796
57,201,Summer,0.11587392527476292
58,201,Winter,0.18760283431472854
