COUNTYFP,Season,temp_aqi_corr
001,Fall,0.34579959634555796
001,Spring,0.22386324177453953
001,Summer,-0.10799624677021812
019,Fall,0.262725351965966
019,Spring,0.40017181898131254
019,Summer,0.08875782310055376
019,Winter,0.036495764473620566
023,Fall,0.48724599953458897
023,Spring,0.2817668600854533
023,Summer,-0.18762935391658178
023,Winter,-0.15435915970877817
031,Fall,0.320156654041264
031,Spring,0.45880211306999696
031,Summer,0.31070240338652183
031,Winter,0.16683424205869102
043,Fall,0.10161631724309957
043,Spring,0.13204878700823056
043,Summer,-0.02719934100097885
043,Winter,0.06618291019470414
085,Fall,0.4870084717499841
085,Spring,0.348969441827377
085,Summer,0.12667080731777214
085,Winter,-0.30033946952681617
089,Fall,0.20928470556991977
089,Spring,0.30528318758070205
089,Summer,0.020891197223895798
089,Winter,-0.0065942559412525
111,Fall,0.13657868569076084
111,Spring,0.2655412780232148
111,Summer,-0.031757752588656527
111,Winter,0.08019574650740229
113,Fall,0.12712162534481042
113,Spring,0.2564684250161819
113,Summer,-0.03618168073753847
113,Winter,-0.02819199188673469
115,Fall,0.24867803386822604
115,Spring,0.35066098772832166
115,Summer,0.08949972867726932
115,Winter,0.12485285648585834
143,Fall,0.22933511657059955
143,Spring,0.39799545800690816
143,Summer,0.17141226646791238
143,Winter,0.13154738675082586
157,Fall,0.19866621882036659
157,Spring,0.07748062712338676
157,Summer,-0.0911905437001832
157,Winter,-0.09056823322480667
161,Fall,0.30647834606780683
161,Spring,0.39101622890924076
161,Summer,0.1699807117286928
161,Winter,0.10592982394210229
167,Fall,0.32267064659905004
167,Spring,0.3862822462271768
167,Summer,0.1443574940617899
167,Winter,0.1834086887895806
201,Fall,0.27302263388831705
201,Spring,0.34676240500997796
201,Summer,0.11587392527476292
201,Winter,0.18760283431472854
