"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202447","47","11/17/2024","11/23/2024","2024-2025","RSV","999","All sites","2024","4,291.07142857143","9.6325657438","0","Minimal","202447-999-RSV"
"202553","53","12/28/2025","01/03/2026","2025-2026","Influenza B","8","Little Village","2025","1,912.5","9.28160144383","1","Minimal","202553-8-Influenza B"
"202208","8","02/20/2022","02/26/2022","2021-2022","SARS-CoV-2","6","West Pullman/Roseland","2022","8,800","9.94448267215","1.1","Minimal","202208-6-SARS-CoV-2"
"202543","43","10/19/2025","10/25/2025","2025-2026","SARS-CoV-2","11","125th St PS","2025","3,187.5","9.50345019344","0.8","Minimal","202543-11-SARS-CoV-2"
"202410","10","03/03/2024","03/09/2024","2023-2024","Influenza A","999","All sites","2024","32,030.3571428571","10.50556178113","5.2","Low","202410-999-Influenza A"
"202403","3","01/14/2024","01/20/2024","2023-2024","SARS-CoV-2","4","Austin/Montclare","2024","3,727,500","12.57141765213","26.6","Very High","202403-4-SARS-CoV-2"
"202507","7","02/09/2025","02/15/2025","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2025","24,637.5","10.39159663729","1.9","Minimal","202507-6-SARS-CoV-2"
"202221","21","05/22/2022","05/28/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202221-4-RSV"
"202422","22","05/26/2024","06/01/2024","2023-2024","Influenza B","11","125th St PS","2024","1,987.5","9.29830713733","1","Minimal","202422-11-Influenza B"
"202431","31","07/28/2024","08/03/2024","2023-2024","RSV","11","125th St PS","2024","0",,"0","Minimal","202431-11-RSV"
"202504","4","01/19/2025","01/25/2025","2024-2025","Influenza B","10","Racine Ave PS","2025","0",,"0","Minimal","202504-10-Influenza B"
"202434","34","08/18/2024","08/24/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","0",,"0","Minimal","202434-6-RSV"
"202502","2","01/05/2025","01/11/2025","2024-2025","RSV","6","West Pullman/Roseland","2025","1,987.5","9.29830713733","1","Minimal","202502-6-RSV"
"202325","25","06/18/2023","06/24/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202325-5-RSV"
"202430","30","07/21/2024","07/27/2024","2023-2024","Influenza A","10","Racine Ave PS","2024","10,012.5","10.00054252909","3.4","Low","202430-10-Influenza A"
"202502","2","01/05/2025","01/11/2025","2024-2025","SARS-CoV-2","11","125th St PS","2025","497,587.5","11.69686946182","17","Very High","202502-11-SARS-CoV-2"
"202226","26","06/26/2022","07/02/2022","2021-2022","SARS-CoV-2","4","Austin/Montclare","2022","190,612.5","11.28015137743","3.9","Moderate","202226-4-SARS-CoV-2"
"202503","3","01/12/2025","01/18/2025","2024-2025","SARS-CoV-2","10","Racine Ave PS","2025","552,150","11.7420570765","9.3","Very High","202503-10-SARS-CoV-2"
"202244","44","10/30/2022","11/05/2022","2022-2023","Influenza B","6","West Pullman/Roseland","2022","0",,"0","Minimal","202244-6-Influenza B"
"202335","35","08/27/2023","09/02/2023","2022-2023","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202335-10-Influenza B"
"202409","9","02/25/2024","03/02/2024","2023-2024","Influenza B","5","Chicago Lawn/Ashburn","2024","42,075","10.62402412465","7.3","Moderate","202409-5-Influenza B"
"202420","20","05/12/2024","05/18/2024","2023-2024","RSV","11","125th St PS","2024","0",,"0","Minimal","202420-11-RSV"
"202336","36","09/03/2023","09/09/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","7,912.5","9.89831372303","3.2","Low","202336-6-RSV"
"202323","23","06/04/2023","06/10/2023","2022-2023","Influenza A","999","All sites","2023","573.21428571429","8.7583170054","0","Minimal","202323-999-Influenza A"
"202333","33","08/13/2023","08/19/2023","2022-2023","Influenza A","11","125th St PS","2023","2,025","9.30642502755","1","Minimal","202333-11-Influenza A"
"202412","12","03/17/2024","03/23/2024","2023-2024","Influenza B","6","West Pullman/Roseland","2024","27,750","10.44326298746","6.3","Moderate","202412-6-Influenza B"
"202432","32","08/04/2024","08/10/2024","2023-2024","Influenza B","9","North Branch PS","2024","0",,"0","Minimal","202432-9-Influenza B"
"202415","15","04/07/2024","04/13/2024","2023-2024","Influenza A","11","125th St PS","2024","19,312.5","10.28583849677","3.1","Low","202415-11-Influenza A"
"202515","15","04/06/2025","04/12/2025","2024-2025","RSV","6","West Pullman/Roseland","2025","2,062.5","9.31439395722","1","Minimal","202515-6-RSV"
"202407","7","02/11/2024","02/17/2024","2023-2024","SARS-CoV-2","999","All sites","2024","1,264,896.42857143","12.10205496635","14.3","Very High","202407-999-SARS-CoV-2"
"202213","13","03/27/2022","04/02/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","9,300","9.96848294855","0.8","Minimal","202213-5-SARS-CoV-2"
"202444","44","10/27/2024","11/02/2024","2024-2025","Influenza B","999","All sites","2024","0",,"0","Minimal","202444-999-Influenza B"
"202437","37","09/08/2024","09/14/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","2,100","9.32221929473","1","Minimal","202437-6-RSV"
"202348","48","11/26/2023","12/02/2023","2023-2024","RSV","999","All sites","2023","130,800","11.11660774399","13.2","Very High","202348-999-RSV"
