"mmwr_week","week","week_start","week_end","season","pathogen","siteno","sitename","year","target_wkavg_concentration","conc_toplot","wkavg_val","wkavg_val_category","row_id"
"202528","28","07/06/2025","07/12/2025","2024-2025","SARS-CoV-2","10","Racine Ave PS","2025","25,650","10.40908736945","1.1","Minimal","202528-10-SARS-CoV-2"
"202442","42","10/13/2024","10/19/2024","2024-2025","Influenza A","9","North Branch PS","2024","0",,"0","Minimal","202442-9-Influenza A"
"202307","7","02/12/2023","02/18/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023",,,"0","Minimal","202307-5-RSV"
"202311","11","03/12/2023","03/18/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202311-6-Influenza B"
"202329","29","07/16/2023","07/22/2023","2022-2023","Influenza A","10","Racine Ave PS","2023","0",,"0","Minimal","202329-10-Influenza A"
"202414","14","03/31/2024","04/06/2024","2023-2024","SARS-CoV-2","9","North Branch PS","2024","75,712.5","10.87916758667","1.6","Minimal","202414-9-SARS-CoV-2"
"202332","32","08/06/2023","08/12/2023","2022-2023","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202332-6-Influenza B"
"202334","34","08/20/2023","08/26/2023","2022-2023","SARS-CoV-2","8","Little Village","2023","278,475","11.44478621262","5.4","High","202334-8-SARS-CoV-2"
"202515","15","04/06/2025","04/12/2025","2024-2025","SARS-CoV-2","10","Racine Ave PS","2025","105,525","11.02335536083","3","Low","202515-10-SARS-CoV-2"
"202522","22","05/25/2025","05/31/2025","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2025","345,600","11.53857373381","6.6","High","202522-5-SARS-CoV-2"
"202225","25","06/19/2022","06/25/2022","2021-2022","Influenza A","6","West Pullman/Roseland","2022",,,"0","Minimal","202225-6-Influenza A"
"202446","46","11/10/2024","11/16/2024","2024-2025","Influenza A","11","125th St PS","2024","0",,"0","Minimal","202446-11-Influenza A"
"202245","45","11/06/2022","11/12/2022","2022-2023","Influenza B","4","Austin/Montclare","2022","0",,"0","Minimal","202245-4-Influenza B"
"202321","21","05/21/2023","05/27/2023","2022-2023","SARS-CoV-2","999","All sites","2023","114,498.214285714","11.05879871347","3.8","Moderate","202321-999-SARS-CoV-2"
"202603","3","01/18/2026","01/24/2026","2025-2026","SARS-CoV-2","5","Chicago Lawn/Ashburn","2026","152,601.85","11.18355979862","4","Moderate","202603-5-SARS-CoV-2"
"202336","36","09/03/2023","09/09/2023","2022-2023","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202336-11-Influenza B"
"202428","28","07/07/2024","07/13/2024","2023-2024","RSV","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202428-5-RSV"
"202441","41","10/06/2024","10/12/2024","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2024","17,850","10.25163822045","1.7","Minimal","202441-6-SARS-CoV-2"
"202232","32","08/07/2022","08/13/2022","2021-2022","Influenza B","4","Austin/Montclare","2022",,,"0","Minimal","202232-4-Influenza B"
"202224","24","06/12/2022","06/18/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","54,187.5","10.73389911482","1.9","Minimal","202224-5-SARS-CoV-2"
"202344","44","10/29/2023","11/04/2023","2023-2024","RSV","9","North Branch PS","2023","20,512.5","10.31201859406","3.3","Low","202344-9-RSV"
"202432","32","08/04/2024","08/10/2024","2023-2024","Influenza A","8","Little Village","2024","8,175","9.91248776133","2.9","Low","202432-8-Influenza A"
"202540","40","09/28/2025","10/04/2025","2025-2026","Influenza A","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202540-5-Influenza A"
"202348","48","11/26/2023","12/02/2023","2023-2024","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202348-10-Influenza B"
"202315","15","04/09/2023","04/15/2023","2022-2023","Influenza A","999","All sites","2023","2,475","9.39357520327","0","Minimal","202315-999-Influenza A"
"202528","28","07/06/2025","07/12/2025","2024-2025","RSV","4","Austin/Montclare","2025","1,987.5","9.29830713733","1","Minimal","202528-4-RSV"
"202451","51","12/15/2024","12/21/2024","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2024","390,862.5","11.59202400549","7.2","High","202451-5-SARS-CoV-2"
"202351","51","12/17/2023","12/23/2023","2023-2024","RSV","999","All sites","2023","109,933.928571429","11.04113174809","11","High","202351-999-RSV"
"202219","19","05/08/2022","05/14/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202219-4-RSV"
"202602","2","01/11/2026","01/17/2026","2025-2026","RSV","11","125th St PS","2026","4,229.86545681915","9.62632655359","1.1","Minimal","202602-11-RSV"
"202415","15","04/07/2024","04/13/2024","2023-2024","Influenza A","8","Little Village","2024","44,437.5","10.64774961807","6.2","Low","202415-8-Influenza A"
"202334","34","08/20/2023","08/26/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","2,025","9.30642502755","1","Minimal","202334-6-RSV"
"202536","36","08/31/2025","09/06/2025","2024-2025","RSV","6","West Pullman/Roseland","2025","0",,"0","Minimal","202536-6-RSV"
"202542","42","10/12/2025","10/18/2025","2025-2026","SARS-CoV-2","6","West Pullman/Roseland","2025","0",,"0","Minimal","202542-6-SARS-CoV-2"
"202323","23","06/04/2023","06/10/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202323-5-RSV"
"202319","19","05/07/2023","05/13/2023","2022-2023","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202319-11-Influenza B"
"202515","15","04/06/2025","04/12/2025","2024-2025","Influenza A","10","Racine Ave PS","2025","21,900","10.34044411484","3.6","Low","202515-10-Influenza A"
"202414","14","03/31/2024","04/06/2024","2023-2024","SARS-CoV-2","8","Little Village","2024","108,675","11.03612964886","2.9","Low","202414-8-SARS-CoV-2"
"202228","28","07/10/2022","07/16/2022","2021-2022","SARS-CoV-2","4","Austin/Montclare","2022","385,275","11.58577082912","6.1","High","202228-4-SARS-CoV-2"
"202338","38","09/17/2023","09/23/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202338-4-Influenza A"
"202413","13","03/24/2024","03/30/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","0",,"0","Minimal","202413-6-RSV"
"202543","43","10/19/2025","10/25/2025","2025-2026","Influenza B","11","125th St PS","2025","0",,"0","Minimal","202543-11-Influenza B"
"202435","35","08/25/2024","08/31/2024","2023-2024","RSV","6","West Pullman/Roseland","2024","0",,"0","Minimal","202435-6-RSV"
"202515","15","04/06/2025","04/12/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","4,087.5","9.61145776567","2.2","Minimal","202515-6-Influenza A"
"202541","41","10/05/2025","10/11/2025","2025-2026","Influenza B","10","Racine Ave PS","2025","0",,"0","Minimal","202541-10-Influenza B"
"202409","9","02/25/2024","03/02/2024","2023-2024","Influenza A","9","North Branch PS","2024","17,850","10.25163822045","3.2","Low","202409-9-Influenza A"
"202517","17","04/20/2025","04/26/2025","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2025","103,200","11.01367969729","5.5","High","202517-6-SARS-CoV-2"
"202503","3","01/12/2025","01/18/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","62,737.5","10.79752720869","7.1","Moderate","202503-5-RSV"
"202546","46","11/09/2025","11/15/2025","2025-2026","Influenza B","10","Racine Ave PS","2025","0",,"0","Minimal","202546-10-Influenza B"
"202433","33","08/11/2024","08/17/2024","2023-2024","Influenza A","11","125th St PS","2024","0",,"0","Minimal","202433-11-Influenza A"
"202537","37","09/07/2025","09/13/2025","2024-2025","RSV","11","125th St PS","2025","0",,"0","Minimal","202537-11-RSV"
"202320","20","05/14/2023","05/20/2023","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2023","109,462.5","11.03926536272","3.1","Low","202320-5-SARS-CoV-2"
"202532","32","08/03/2025","08/09/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","0",,"0","Minimal","202532-6-Influenza A"
"202524","24","06/08/2025","06/14/2025","2024-2025","Influenza B","9","North Branch PS","2025","0",,"0","Minimal","202524-9-Influenza B"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza A","9","North Branch PS","2023","0",,"0","Minimal","202322-9-Influenza A"
"202405","5","01/28/2024","02/03/2024","2023-2024","Influenza B","9","North Branch PS","2024","1,987.5","9.29830713733","1","Minimal","202405-9-Influenza B"
"202321","21","05/21/2023","05/27/2023","2022-2023","RSV","10","Racine Ave PS","2023","1,950","9.29003461136","1","Minimal","202321-10-RSV"
"202341","41","10/08/2023","10/14/2023","2023-2024","Influenza B","4","Austin/Montclare","2023","0",,"0","Minimal","202341-4-Influenza B"
"202428","28","07/07/2024","07/13/2024","2023-2024","Influenza B","11","125th St PS","2024","0",,"0","Minimal","202428-11-Influenza B"
"202437","37","09/08/2024","09/14/2024","2023-2024","Influenza A","10","Racine Ave PS","2024","12,187.5","10.08591462871","2.3","Minimal","202437-10-Influenza A"
"202431","31","07/28/2024","08/03/2024","2023-2024","Influenza A","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202431-5-Influenza A"
"202438","38","09/15/2024","09/21/2024","2023-2024","Influenza A","8","Little Village","2024","9,937.5","9.99727714166","2","Minimal","202438-8-Influenza A"
"202502","2","01/05/2025","01/11/2025","2024-2025","RSV","11","125th St PS","2025","45,487.5","10.65789206859","7.9","Moderate","202502-11-RSV"
"202427","27","06/30/2024","07/06/2024","2023-2024","Influenza A","5","Chicago Lawn/Ashburn","2024","0",,"0","Minimal","202427-5-Influenza A"
"202212","12","03/20/2022","03/26/2022","2021-2022","Influenza A","4","Austin/Montclare","2022",,,"0","Minimal","202212-4-Influenza A"
"202551","51","12/14/2025","12/20/2025","2025-2026","SARS-CoV-2","4","Austin/Montclare","2025","366,683.02","11.56429079954","5.9","High","202551-4-SARS-CoV-2"
"202438","38","09/15/2024","09/21/2024","2023-2024","Influenza B","8","Little Village","2024","0",,"0","Minimal","202438-8-Influenza B"
"202513","13","03/23/2025","03/29/2025","2024-2025","RSV","8","Little Village","2025","14,062.5","10.14806253546","2.6","Low","202513-8-RSV"
"202448","48","11/24/2024","11/30/2024","2024-2025","SARS-CoV-2","9","North Branch PS","2024","71,587.5","10.85483719612","1.6","Minimal","202448-9-SARS-CoV-2"
"202422","22","05/26/2024","06/01/2024","2023-2024","SARS-CoV-2","999","All sites","2024","67,344.6428571429","10.8283030541","2.2","Low","202422-999-SARS-CoV-2"
"202433","33","08/11/2024","08/17/2024","2023-2024","Influenza B","10","Racine Ave PS","2024","0",,"0","Minimal","202433-10-Influenza B"
"202542","42","10/12/2025","10/18/2025","2025-2026","SARS-CoV-2","9","North Branch PS","2025","17,962.5","10.25436678114","0.5","Minimal","202542-9-SARS-CoV-2"
"202323","23","06/04/2023","06/10/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","4,162.5","9.61935424651","1.8","Minimal","202323-6-RSV"
"202227","27","07/03/2022","07/09/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202227-4-RSV"
"202330","30","07/23/2023","07/29/2023","2022-2023","Influenza B","999","All sites","2023","867.85714285714","8.93844824226","0","Minimal","202330-999-Influenza B"
"202524","24","06/08/2025","06/14/2025","2024-2025","SARS-CoV-2","6","West Pullman/Roseland","2025","3,937.5","9.5952205668","0.6","Minimal","202524-6-SARS-CoV-2"
"202435","35","08/25/2024","08/31/2024","2023-2024","Influenza B","10","Racine Ave PS","2024","0",,"0","Minimal","202435-10-Influenza B"
"202347","47","11/19/2023","11/25/2023","2023-2024","Influenza B","6","West Pullman/Roseland","2023","0",,"0","Minimal","202347-6-Influenza B"
"202449","49","12/01/2024","12/07/2024","2024-2025","Influenza A","999","All sites","2024","9,321.42857142857","9.969482476","0","Minimal","202449-999-Influenza A"
"202439","39","09/22/2024","09/28/2024","2023-2024","Influenza B","11","125th St PS","2024","0",,"0","Minimal","202439-11-Influenza B"
"202241","41","10/09/2022","10/15/2022","2022-2023","Influenza A","999","All sites","2022","5,465.625","9.73763983116","0","Minimal","202241-999-Influenza A"
"202330","30","07/23/2023","07/29/2023","2022-2023","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202330-10-Influenza B"
"202214","14","04/03/2022","04/09/2022","2021-2022","Influenza A","999","All sites","2022",,,"0","Minimal","202214-999-Influenza A"
"202319","19","05/07/2023","05/13/2023","2022-2023","RSV","8","Little Village","2023","0",,"0","Minimal","202319-8-RSV"
"202501","1","12/29/2024","01/04/2025","2024-2025","Influenza B","9","North Branch PS","2025","0",,"0","Minimal","202501-9-Influenza B"
"202534","34","08/17/2025","08/23/2025","2024-2025","Influenza A","4","Austin/Montclare","2025","0",,"0","Minimal","202534-4-Influenza A"
"202338","38","09/17/2023","09/23/2023","2022-2023","SARS-CoV-2","6","West Pullman/Roseland","2023","10,087.5","10.00378354773","1.1","Minimal","202338-6-SARS-CoV-2"
"202209","9","02/27/2022","03/05/2022","2021-2022","RSV","6","West Pullman/Roseland","2022",,,"0","Minimal","202209-6-RSV"
"202504","4","01/19/2025","01/25/2025","2024-2025","RSV","8","Little Village","2025","10,725","10.03039730086","2.1","Minimal","202504-8-RSV"
"202233","33","08/14/2022","08/20/2022","2021-2022","SARS-CoV-2","999","All sites","2022","290,487.5","11.46312744895","5.8","High","202233-999-SARS-CoV-2"
"202513","13","03/23/2025","03/29/2025","2024-2025","Influenza A","999","All sites","2025","19,398.2142857143","10.28776175253","3.1","Low","202513-999-Influenza A"
"202520","20","05/11/2025","05/17/2025","2024-2025","Influenza B","8","Little Village","2025","0",,"0","Minimal","202520-8-Influenza B"
"202407","7","02/11/2024","02/17/2024","2023-2024","SARS-CoV-2","9","North Branch PS","2024","1,394,625","12.14445744609","15.4","Very High","202407-9-SARS-CoV-2"
"202240","40","10/02/2022","10/08/2022","2022-2023","Influenza A","8","Little Village","2022",,,"0","Minimal","202240-8-Influenza A"
"202431","31","07/28/2024","08/03/2024","2023-2024","Influenza B","8","Little Village","2024","0",,"0","Minimal","202431-8-Influenza B"
"202322","22","05/28/2023","06/03/2023","2022-2023","Influenza B","10","Racine Ave PS","2023","0",,"0","Minimal","202322-10-Influenza B"
"202437","37","09/08/2024","09/14/2024","2023-2024","SARS-CoV-2","6","West Pullman/Roseland","2024","155,812.5","11.19260229585","7.2","High","202437-6-SARS-CoV-2"
"202408","8","02/18/2024","02/24/2024","2023-2024","RSV","11","125th St PS","2024","12,187.5","10.08591462871","2.6","Low","202408-11-RSV"
"202229","29","07/17/2022","07/23/2022","2021-2022","Influenza B","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202229-5-Influenza B"
"202523","23","06/01/2025","06/07/2025","2024-2025","Influenza B","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202523-5-Influenza B"
"202525","25","06/15/2025","06/21/2025","2024-2025","Influenza A","5","Chicago Lawn/Ashburn","2025","1,950","9.29003461136","1","Minimal","202525-5-Influenza A"
"202327","27","07/02/2023","07/08/2023","2022-2023","RSV","6","West Pullman/Roseland","2023","0",,"0","Minimal","202327-6-RSV"
"202512","12","03/16/2025","03/22/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","23,962.5","10.37953212589","7.1","Moderate","202512-6-Influenza A"
"202252","52","12/25/2022","12/31/2022","2022-2023","Influenza A","5","Chicago Lawn/Ashburn","2022","146,250","11.16509587475","13.5","High","202252-5-Influenza A"
"202511","11","03/09/2025","03/15/2025","2024-2025","RSV","999","All sites","2025","19,001.7857142857","10.27879441619","0","Minimal","202511-999-RSV"
"202402","2","01/07/2024","01/13/2024","2023-2024","Influenza B","4","Austin/Montclare","2024","9,787.5","9.99067177507","7.2","Moderate","202402-4-Influenza B"
"202323","23","06/04/2023","06/10/2023","2022-2023","Influenza B","9","North Branch PS","2023","0",,"0","Minimal","202323-9-Influenza B"
"202249","49","12/04/2022","12/10/2022","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","1,769,100","12.2477523825","17.8","Very High","202249-5-SARS-CoV-2"
"202223","23","06/05/2022","06/11/2022","2021-2022","Influenza B","999","All sites","2022",,,"0","Minimal","202223-999-Influenza B"
"202336","36","09/03/2023","09/09/2023","2022-2023","Influenza A","4","Austin/Montclare","2023","0",,"0","Minimal","202336-4-Influenza A"
"202537","37","09/07/2025","09/13/2025","2024-2025","SARS-CoV-2","9","North Branch PS","2025","219,675","11.34178063507","3.6","Moderate","202537-9-SARS-CoV-2"
"202342","42","10/15/2023","10/21/2023","2023-2024","RSV","6","West Pullman/Roseland","2023","0",,"0","Minimal","202342-6-RSV"
"202406","6","02/04/2024","02/10/2024","2023-2024","RSV","9","North Branch PS","2024","99,975","10.99989141281","10.8","High","202406-9-RSV"
"202503","3","01/12/2025","01/18/2025","2024-2025","Influenza A","999","All sites","2025","137,083.928571429","11.13698654201","13.1","High","202503-999-Influenza A"
"202525","25","06/15/2025","06/21/2025","2024-2025","Influenza A","999","All sites","2025","1,414.28571428571","9.15053715458","0","Minimal","202525-999-Influenza A"
"202307","7","02/12/2023","02/18/2023","2022-2023","SARS-CoV-2","6","West Pullman/Roseland","2023","8,587,500","12.93386675007","107.9","Very High","202307-6-SARS-CoV-2"
"202421","21","05/19/2024","05/25/2024","2023-2024","RSV","999","All sites","2024","2,351.78571428571","9.37139774796","0","Minimal","202421-999-RSV"
"202435","35","08/25/2024","08/31/2024","2023-2024","Influenza B","9","North Branch PS","2024","0",,"0","Minimal","202435-9-Influenza B"
"202224","24","06/12/2022","06/18/2022","2021-2022","RSV","6","West Pullman/Roseland","2022",,,"0","Minimal","202224-6-RSV"
"202412","12","03/17/2024","03/23/2024","2023-2024","Influenza B","4","Austin/Montclare","2024","23,700","10.37474834601","9.1","Moderate","202412-4-Influenza B"
"202426","26","06/23/2024","06/29/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","2,100","9.32221929473","1.1","Minimal","202426-6-Influenza A"
"202306","6","02/05/2023","02/11/2023","2022-2023","SARS-CoV-2","4","Austin/Montclare","2023","189,750","11.27818178457","3.9","Moderate","202306-4-SARS-CoV-2"
"202324","24","06/11/2023","06/17/2023","2022-2023","SARS-CoV-2","6","West Pullman/Roseland","2023","17,812.5","10.25072487735","2.7","Low","202324-6-SARS-CoV-2"
"202334","34","08/20/2023","08/26/2023","2022-2023","Influenza B","11","125th St PS","2023","0",,"0","Minimal","202334-11-Influenza B"
"202217","17","04/24/2022","04/30/2022","2021-2022","Influenza B","4","Austin/Montclare","2022",,,"0","Minimal","202217-4-Influenza B"
"202405","5","01/28/2024","02/03/2024","2023-2024","RSV","5","Chicago Lawn/Ashburn","2024","26,512.5","10.42345068152","4","Low","202405-5-RSV"
"202330","30","07/23/2023","07/29/2023","2022-2023","RSV","5","Chicago Lawn/Ashburn","2023","0",,"0","Minimal","202330-5-RSV"
"202532","32","08/03/2025","08/09/2025","2024-2025","Influenza B","8","Little Village","2025","0",,"0","Minimal","202532-8-Influenza B"
"202541","41","10/05/2025","10/11/2025","2025-2026","Influenza A","10","Racine Ave PS","2025","0",,"0","Minimal","202541-10-Influenza A"
"202341","41","10/08/2023","10/14/2023","2023-2024","Influenza B","10","Racine Ave PS","2023","1,950","9.29003461136","1","Minimal","202341-10-Influenza B"
"202214","14","04/03/2022","04/09/2022","2021-2022","RSV","4","Austin/Montclare","2022",,,"0","Minimal","202214-4-RSV"
"202520","20","05/11/2025","05/17/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","0",,"0","Minimal","202520-6-Influenza A"
"202328","28","07/09/2023","07/15/2023","2022-2023","Influenza A","10","Racine Ave PS","2023","0",,"0","Minimal","202328-10-Influenza A"
"202335","35","08/27/2023","09/02/2023","2022-2023","RSV","11","125th St PS","2023","0",,"0","Minimal","202335-11-RSV"
"202552","52","12/21/2025","12/27/2025","2025-2026","SARS-CoV-2","10","Racine Ave PS","2025","1,311,000","12.11760269169","16.7","Very High","202552-10-SARS-CoV-2"
"202521","21","05/18/2025","05/24/2025","2024-2025","RSV","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202521-5-RSV"
"202416","16","04/14/2024","04/20/2024","2023-2024","Influenza B","4","Austin/Montclare","2024","14,062.5","10.14806253546","4.8","Low","202416-4-Influenza B"
"202410","10","03/03/2024","03/09/2024","2023-2024","Influenza B","11","125th St PS","2024","33,862.5","10.52971901804","12.7","High","202410-11-Influenza B"
"202451","51","12/15/2024","12/21/2024","2024-2025","Influenza B","999","All sites","2024","0",,"0","Minimal","202451-999-Influenza B"
"202311","11","03/12/2023","03/18/2023","2022-2023","Influenza A","8","Little Village","2023","77,662.5","10.89021136662","16.4","High","202311-8-Influenza A"
"202421","21","05/19/2024","05/25/2024","2023-2024","Influenza B","11","125th St PS","2024","0",,"0","Minimal","202421-11-Influenza B"
"202529","29","07/13/2025","07/19/2025","2024-2025","Influenza A","9","North Branch PS","2025","1,987.5","9.29830713733","1","Minimal","202529-9-Influenza A"
"202207","7","02/13/2022","02/19/2022","2021-2022","Influenza A","999","All sites","2022",,,"0","Minimal","202207-999-Influenza A"
"202406","6","02/04/2024","02/10/2024","2023-2024","Influenza B","4","Austin/Montclare","2024","9,825","9.99233255905","7.2","Moderate","202406-4-Influenza B"
"202535","35","08/24/2025","08/30/2025","2024-2025","Influenza B","8","Little Village","2025","5,962.5","9.77542839205","4.2","Low","202535-8-Influenza B"
"202430","30","07/21/2024","07/27/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","0",,"0","Minimal","202430-6-Influenza A"
"202504","4","01/19/2025","01/25/2025","2024-2025","Influenza B","5","Chicago Lawn/Ashburn","2025","0",,"0","Minimal","202504-5-Influenza B"
"202551","51","12/14/2025","12/20/2025","2025-2026","Influenza A","8","Little Village","2025","26,327.802937473","10.42041461862","4.2","Low","202551-8-Influenza A"
"202235","35","08/28/2022","09/03/2022","2021-2022","RSV","6","West Pullman/Roseland","2022",,,"0","Minimal","202235-6-RSV"
"202348","48","11/26/2023","12/02/2023","2023-2024","Influenza A","10","Racine Ave PS","2023","63,975","10.80601029456","8","Moderate","202348-10-Influenza A"
"202504","4","01/19/2025","01/25/2025","2024-2025","Influenza B","999","All sites","2025","0",,"0","Minimal","202504-999-Influenza B"
"202405","5","01/28/2024","02/03/2024","2023-2024","SARS-CoV-2","11","125th St PS","2024","216,112.5","11.33467988731","9.4","Very High","202405-11-SARS-CoV-2"
"202213","13","03/27/2022","04/02/2022","2021-2022","Influenza A","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202213-5-Influenza A"
"202503","3","01/12/2025","01/18/2025","2024-2025","Influenza A","9","North Branch PS","2025","45,750","10.6603910984","6.8","Moderate","202503-9-Influenza A"
"202546","46","11/09/2025","11/15/2025","2025-2026","SARS-CoV-2","9","North Branch PS","2025","217,462.5","11.33738437648","3.4","Low","202546-9-SARS-CoV-2"
"202505","5","01/26/2025","02/01/2025","2024-2025","Influenza A","9","North Branch PS","2025","133,012.5","11.1238924562","15.3","High","202505-9-Influenza A"
"202252","52","12/25/2022","12/31/2022","2022-2023","Influenza A","6","West Pullman/Roseland","2022","16,125","10.20749972331","4.6","Low","202252-6-Influenza A"
"202225","25","06/19/2022","06/25/2022","2021-2022","Influenza B","6","West Pullman/Roseland","2022",,,"0","Minimal","202225-6-Influenza B"
"202503","3","01/12/2025","01/18/2025","2024-2025","RSV","10","Racine Ave PS","2025","123,337.5","11.09109514121","14.9","Very High","202503-10-RSV"
"202335","35","08/27/2023","09/02/2023","2022-2023","SARS-CoV-2","11","125th St PS","2023","54,789","10.73869337383","3.7","Moderate","202335-11-SARS-CoV-2"
"202345","45","11/05/2023","11/11/2023","2023-2024","Influenza B","999","All sites","2023","0",,"0","Minimal","202345-999-Influenza B"
"202448","48","11/24/2024","11/30/2024","2024-2025","RSV","5","Chicago Lawn/Ashburn","2024","4,050","9.60745502321","1.7","Minimal","202448-5-RSV"
"202352","52","12/24/2023","12/30/2023","2023-2024","SARS-CoV-2","9","North Branch PS","2023","1,926,375","12.28474083345","19.8","Very High","202352-9-SARS-CoV-2"
"202548","48","11/23/2025","11/29/2025","2025-2026","Influenza A","8","Little Village","2025","0",,"0","Minimal","202548-8-Influenza A"
"202527","27","06/29/2025","07/05/2025","2024-2025","SARS-CoV-2","999","All sites","2025","29,850","10.47494433547","1.1","Minimal","202527-999-SARS-CoV-2"
"202438","38","09/15/2024","09/21/2024","2023-2024","SARS-CoV-2","11","125th St PS","2024","29,925","10.47603415908","2.4","Low","202438-11-SARS-CoV-2"
"202433","33","08/11/2024","08/17/2024","2023-2024","Influenza A","6","West Pullman/Roseland","2024","2,137.5","9.3299061234","1.1","Minimal","202433-6-Influenza A"
"202336","36","09/03/2023","09/09/2023","2022-2023","Influenza A","10","Racine Ave PS","2023","7,912.5","9.89831372303","1.6","Minimal","202336-10-Influenza A"
"202336","36","09/03/2023","09/09/2023","2022-2023","SARS-CoV-2","4","Austin/Montclare","2023","267,150","11.42675517852","4.7","Moderate","202336-4-SARS-CoV-2"
"202321","21","05/21/2023","05/27/2023","2022-2023","SARS-CoV-2","5","Chicago Lawn/Ashburn","2023","36,337.5","10.56035504478","1.5","Minimal","202321-5-SARS-CoV-2"
"202410","10","03/03/2024","03/09/2024","2023-2024","Influenza A","8","Little Village","2024","41,475","10.6177863947","6","Low","202410-8-Influenza A"
"202349","49","12/03/2023","12/09/2023","2023-2024","RSV","8","Little Village","2023","413,212.5","11.61617345079","33.3","Very High","202349-8-RSV"
"202243","43","10/23/2022","10/29/2022","2022-2023","Influenza B","8","Little Village","2022","0",,"0","Minimal","202243-8-Influenza B"
"202323","23","06/04/2023","06/10/2023","2022-2023","RSV","999","All sites","2023","3,417.85714285714","9.53375390643","0","Minimal","202323-999-RSV"
"202414","14","03/31/2024","04/06/2024","2023-2024","RSV","9","North Branch PS","2024","29,850","10.47494433547","4.1","Low","202414-9-RSV"
"202351","51","12/17/2023","12/23/2023","2023-2024","Influenza B","9","North Branch PS","2023","0",,"0","Minimal","202351-9-Influenza B"
"202417","17","04/21/2024","04/27/2024","2023-2024","Influenza A","4","Austin/Montclare","2024","3,937.5","9.5952205668","1","Minimal","202417-4-Influenza A"
"202522","22","05/25/2025","05/31/2025","2024-2025","Influenza B","4","Austin/Montclare","2025","1,950","9.29003461136","1","Minimal","202522-4-Influenza B"
"202509","9","02/23/2025","03/01/2025","2024-2025","Influenza B","6","West Pullman/Roseland","2025","0",,"0","Minimal","202509-6-Influenza B"
"202552","52","12/21/2025","12/27/2025","2025-2026","Influenza A","8","Little Village","2025","44,325","10.64664874427","6.3","Moderate","202552-8-Influenza A"
"202435","35","08/25/2024","08/31/2024","2023-2024","Influenza A","9","North Branch PS","2024","0",,"0","Minimal","202435-9-Influenza A"
"202218","18","05/01/2022","05/07/2022","2021-2022","SARS-CoV-2","5","Chicago Lawn/Ashburn","2022","97,537.5","10.98917161992","2.9","Low","202218-5-SARS-CoV-2"
"202212","12","03/20/2022","03/26/2022","2021-2022","RSV","5","Chicago Lawn/Ashburn","2022",,,"0","Minimal","202212-5-RSV"
"202424","24","06/09/2024","06/15/2024","2023-2024","SARS-CoV-2","10","Racine Ave PS","2024","109,425","11.03911655529","3.1","Low","202424-10-SARS-CoV-2"
"202517","17","04/20/2025","04/26/2025","2024-2025","Influenza A","6","West Pullman/Roseland","2025","0",,"0","Minimal","202517-6-Influenza A"
"202404","4","01/21/2024","01/27/2024","2023-2024","Influenza A","8","Little Village","2024","76,237.5","10.88216864637","9.4","Moderate","202404-8-Influenza A"
"202503","3","01/12/2025","01/18/2025","2024-2025","SARS-CoV-2","5","Chicago Lawn/Ashburn","2025","424,875","11.62826117759","7.6","High","202503-5-SARS-CoV-2"
